word,phonetic,translation,tag,exchange
a,ei,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",zk gk,
abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",gk cet4 cet6 ky toefl gre,d:abandoned/p:abandoned/i:abandoning/3:abandons
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的",toefl,0:abandon/1:dp/p:abandoned/d:abandoned
abandonment,ә'bændәmәnt,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)",toefl,s:abandonments
abase,ә'beis,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",gre,i:abasing/p:abased/3:abases/d:abased
abash,ә'bæʃ,"vt. 使不安, 使羞愧, 使困窘",gre,d:abashed/i:abashing/p:abashed/3:abashes
abashed,ә'bæʃd,"a. 不安的, 窘迫的",toefl,d:abashed/0:abashed/1:d
abate,ә'beit,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",toefl gre,d:abated/i:abating/p:abated/3:abates
abbreviate,ә'bri:vieit,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",toefl gre,d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略",cet6 toefl ielts,s:abbreviations
abdicate,'æbdikeit,"vt. 正式放弃\nvi. 退位, 退出, 辞职",toefl gre,p:abdicated/d:abdicated/i:abdicating/3:abdicates/s:abdicates
abdomen,'æbdәmen,n. 腹部\n[医] 腹[部],ky,s:abdomens
abduct,æb'dʌkt,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",toefl gre,d:abducted/p:abducted/i:abducting/3:abducts
aberrant,æ'berәnt,"a. 偏离正路的, 偏离常轨的, 畸变的\n[化] 异常的",gre,
aberration,æbә'reiʃәn,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差\n[化] 光行差; 像差",gre,s:aberrations
abet,ә'bet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持",gre,p:abetted/i:abetting/d:abetted/3:abets
